Ticker,Date/Time,Price,EMA1,EMA2,EMA3,MACD,SIGNAL,RSI,RSI-MA
SPY,02/01/2015,205.43,206.36,205.79,205.79,0.57,0.59,50.75,56.27
SPY,05/01/2015,201.72,205.52,205.40,205.40,0.12,0.53,41.32,52.39
SPY,06/01/2015,199.82,204.48,204.87,204.87,-0.39,0.42,37.50,47.62
SPY,07/01/2015,202.31,204.09,204.63,204.63,-0.54,0.30,44.68,45.07
SPY,08/01/2015,205.90,204.42,204.75,204.75,-0.33,0.22,53.03,45.46
SPY,09/01/2015,204.25,204.39,204.70,204.70,-0.31,0.15,49.36,45.18
SPY,12/01/2015,202.65,204.07,204.50,204.50,-0.43,0.08,46.05,46.12
SPY,13/01/2015,202.08,203.71,204.27,204.27,-0.56,-0.00,44.90,47.61
SPY,14/01/2015,200.86,203.19,203.95,203.95,-0.76,-0.10,42.47,47.16
SPY,15/01/2015,199.02,202.43,203.48,203.48,-1.05,-0.21,39.06,44.37
SPY,16/01/2015,201.63,202.29,203.30,203.30,-1.02,-0.32,45.70,43.64
SPY,20/01/2015,202.06,202.25,203.18,203.18,-0.94,-0.39,46.72,43.77
SPY,21/01/2015,203.08,202.40,203.17,203.17,-0.78,-0.44,49.16,44.62
SPY,22/01/2015,206.10,203.07,203.45,203.45,-0.38,-0.43,55.60,47.25
SPY,23/01/2015,204.97,203.42,203.60,203.60,-0.18,-0.40,52.91,50.02
SPY,26/01/2015,205.45,203.79,203.77,203.77,0.01,-0.35,53.92,51.66
SPY,27/01/2015,202.74,203.60,203.68,203.68,-0.08,-0.32,47.71,51.86
SPY,28/01/2015,200.14,202.97,203.34,203.34,-0.37,-0.32,42.66,50.56
SPY,29/01/2015,201.99,202.79,203.21,203.21,-0.42,-0.34,46.94,48.83
SPY,30/01/2015,199.45,202.18,202.85,202.85,-0.67,-0.38,42.29,46.71
SPY,02/02/2015,201.92,202.13,202.76,202.76,-0.63,-0.41,47.69,45.46
